UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,TIPO_MUNI,CLASIFICACION,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,GPC_MUN
040120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,686.0,88.0,598.0,0.49965038738600104,0.7137862676942873
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,7187.0,6951.0,236.0,0.55,0.7857142857142858
040122,AREQUIPA,AREQUIPA,SOCABAYA,SIERRA,DISTRITAL,Sierra con Población urbana de más de 50 mil habitantes,79147.0,78626.0,521.0,0.4,0.5714285714285715
040123,AREQUIPA,AREQUIPA,TIABAYA,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,16848.0,16346.0,502.0,0.52,0.7428571428571428
040124,AREQUIPA,AREQUIPA,UCHUMAYO,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,15689.0,14788.0,901.0,0.4,0.5714285714285715
040125,AREQUIPA,AREQUIPA,VITOR,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,4332.0,2066.0,2266.0,0.49965038738600104,0.7137862676942873
040126,AREQUIPA,AREQUIPA,YANAHUARA,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,26099.0,26099.0,0.0,0.62,0.8857142857142859
040127,AREQUIPA,AREQUIPA,YARABAMBA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1482.0,1442.0,40.0,0.4203505822563048,0.6005008317947211
040128,AREQUIPA,AREQUIPA,YURA,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,39899.0,39299.0,600.0,0.39,0.5571428571428572
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,SIERRA,DISTRITAL,Sierra con Población urbana de más de 50 mil habitantes,82261.0,82261.0,0.0,0.45,0.642857142857143
040201,AREQUIPA,CAMANA,CAMANA,COSTA,PROVINCIAL,Costa con Población urbana entre 10 mil y 50 mil habitantes,12855.0,12852.0,3.0,0.54,0.7714285714285716
040202,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,4645.0,4636.0,9.0,0.57,0.8142857142857145
040203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,8014.0,1031.0,6983.0,0.71,1.0142857142857142
040204,AREQUIPA,CAMANA,MARISCAL CACERES,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,6371.0,5937.0,434.0,0.49,0.7000000000000002
040205,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,7583.0,7464.0,119.0,0.49965038738600104,0.7137862676942873
040206,AREQUIPA,CAMANA,OCOÑA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,4082.0,3470.0,612.0,0.61,0.8714285714285713
040207,AREQUIPA,CAMANA,QUILCA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,1048.0,189.0,859.0,0.49965038738600104,0.7137862676942873
040208,AREQUIPA,CAMANA,SAMUEL PASTOR,COSTA,DISTRITAL,Costa con Población urbana entre 10 mil y 50 mil habitantes,16302.0,15881.0,421.0,0.61,0.8714285714285713
040301,AREQUIPA,CARAVELI,CARAVELI,SIERRA,PROVINCIAL,Sierra con Población urbana de hasta 10 mil habitantes,4198.0,4025.0,173.0,0.21,0.29999999999999993
040302,AREQUIPA,CARAVELI,ACARI,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,5081.0,3498.0,1583.0,0.7,1
040303,AREQUIPA,CARAVELI,ATICO,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,5809.0,5002.0,807.0,0.18,0.2571428571428572
040304,AREQUIPA,CARAVELI,ATIQUIPA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,493.0,103.0,390.0,0.4586851731599267,0.6552645330856097
040305,AREQUIPA,CARAVELI,BELLA UNION,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,3065.0,2750.0,315.0,0.62,0.8857142857142859
040306,AREQUIPA,CARAVELI,CAHUACHO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,628.0,161.0,467.0,0.437675332039757,0.62525047434251
040307,AREQUIPA,CARAVELI,CHALA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,9862.0,9509.0,353.0,0.57,0.8142857142857143
040308,AREQUIPA,CARAVELI,CHAPARRA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,3639.0,2339.0,1300.0,0.49965038738600104,0.7137862676942873
040309,AREQUIPA,CARAVELI,HUANUHUANU,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3144.0,77.0,3067.0,0.437675332039757,0.6252504743425101
040310,AREQUIPA,CARAVELI,JAQUI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1585.0,1443.0,142.0,0.6,0.8571428571428571
040311,AREQUIPA,CARAVELI,LOMAS,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,1548.0,1463.0,85.0,0.32,0.45714285714285713
040312,AREQUIPA,CARAVELI,QUICACHA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1903.0,906.0,997.0,0.437675332039757,0.6252504743425099
040313,AREQUIPA,CARAVELI,YAUCA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,2006.0,1664.0,342.0,0.33,0.4714285714285715
040401,AREQUIPA,CASTILLA,APLAO,COSTA,PROVINCIAL,Costa con Población urbana de hasta 10 mil habitantes,8961.0,7000.0,1961.0,0.49,0.7
040402,AREQUIPA,CASTILLA,ANDAGUA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1031.0,756.0,275.0,0.33,0.4714285714285715
040403,AREQUIPA,CASTILLA,AYO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,239.0,190.0,49.0,0.437675332039757,0.6252504743425101
040404,AREQUIPA,CASTILLA,CHACHAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1664.0,565.0,1099.0,0.437675332039757,0.62525047434251
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1018.0,642.0,376.0,0.437675332039757,0.62525047434251
040406,AREQUIPA,CASTILLA,CHOCO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,694.0,271.0,423.0,0.437675332039757,0.6252504743425099
040407,AREQUIPA,CASTILLA,HUANCARQUI,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,1574.0,1328.0,246.0,0.46,0.6571428571428571
040408,AREQUIPA,CASTILLA,MACHAGUAY,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,484.0,226.0,258.0,0.437675332039757,0.62525047434251
040409,AREQUIPA,CASTILLA,ORCOPAMPA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,8542.0,7955.0,587.0,0.65,0.9285714285714286
040410,AREQUIPA,CASTILLA,PAMPACOLCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1944.0,1345.0,599.0,0.37,0.5285714285714286
040411,AREQUIPA,CASTILLA,TIPAN,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,440.0,130.0,310.0,0.437675332039757,0.62525047434251
040412,AREQUIPA,CASTILLA,UÑON,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,206.0,119.0,87.0,0.437675332039757,0.62525047434251
040413,AREQUIPA,CASTILLA,URACA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,6638.0,4240.0,2398.0,0.49965038738600104,0.7137862676942873
040414,AREQUIPA,CASTILLA,VIRACO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1549.0,1076.0,473.0,0.55,0.785714285714286
040501,AREQUIPA,CAYLLOMA,CHIVAY,SIERRA,PROVINCIAL,Sierra con Población urbana de hasta 10 mil habitantes,5948.0,5788.0,160.0,0.87,1.242857142857143
040502,AREQUIPA,CAYLLOMA,ACHOMA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,840.0,784.0,56.0,0.437675332039757,0.62525047434251
040503,AREQUIPA,CAYLLOMA,CABANACONDE,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,2149.0,2029.0,120.0,0.437675332039757,0.62525047434251
040504,AREQUIPA,CAYLLOMA,CALLALLI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1427.0,885.0,542.0,0.437675332039757,0.62525047434251
040505,AREQUIPA,CAYLLOMA,CAYLLOMA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3718.0,3343.0,375.0,0.87,1.2428571428571427
040506,AREQUIPA,CAYLLOMA,COPORAQUE,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1147.0,784.0,363.0,0.437675332039757,0.62525047434251
040507,AREQUIPA,CAYLLOMA,HUAMBO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,678.0,454.0,224.0,0.437675332039757,0.6252504743425101
040508,AREQUIPA,CAYLLOMA,HUANCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1003.0,565.0,438.0,0.437675332039757,0.62525047434251
040509,AREQUIPA,CAYLLOMA,ICHUPAMPA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,574.0,556.0,18.0,0.437675332039757,0.6252504743425101
040510,AREQUIPA,CAYLLOMA,LARI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,881.0,825.0,56.0,0.24,0.3428571428571429
040511,AREQUIPA,CAYLLOMA,LLUTA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,723.0,408.0,315.0,0.437675332039757,0.62525047434251
040512,AREQUIPA,CAYLLOMA,MACA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,704.0,693.0,11.0,0.56,0.8000000000000002
040513,AREQUIPA,CAYLLOMA,MADRIGAL,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,664.0,656.0,8.0,0.46,0.6571428571428573
040514,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,901.0,418.0,483.0,0.4203505822563048,0.6005008317947212
040515,AREQUIPA,CAYLLOMA,SIBAYO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,687.0,546.0,141.0,0.46,0.6571428571428573
040516,AREQUIPA,CAYLLOMA,TAPAY,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,799.0,66.0,733.0,0.437675332039757,0.6252504743425099
040517,AREQUIPA,CAYLLOMA,TISCO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1507.0,700.0,807.0,0.437675332039757,0.6252504743425101
040518,AREQUIPA,CAYLLOMA,TUTI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,617.0,520.0,97.0,0.437675332039757,0.62525047434251
040519,AREQUIPA,CAYLLOMA,YANQUE,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,2173.0,1799.0,374.0,0.4203505822563048,0.6005008317947211
040520,AREQUIPA,CAYLLOMA,MAJES,COSTA,DISTRITAL,Costa con Población urbana de más de 50 mil habitantes,68071.0,56270.0,11801.0,0.5,0.7142857142857144
040601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,COSTA,PROVINCIAL,Costa con Población urbana de hasta 10 mil habitantes,3380.0,2857.0,523.0,0.49965038738600104,0.7137862676942873
040602,AREQUIPA,CONDESUYOS,ANDARAY,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,685.0,225.0,460.0,0.46,0.6571428571428571
040603,AREQUIPA,CONDESUYOS,CAYARANI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3307.0,446.0,2861.0,0.437675332039757,0.62525047434251
040604,AREQUIPA,CONDESUYOS,CHICHAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,684.0,326.0,358.0,0.437675332039757,0.62525047434251
040605,AREQUIPA,CONDESUYOS,IRAY,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,607.0,355.0,252.0,0.49965038738600104,0.7137862676942873
040606,AREQUIPA,CONDESUYOS,RIO GRANDE,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3450.0,1658.0,1792.0,0.437675332039757,0.6252504743425099
040607,AREQUIPA,CONDESUYOS,SALAMANCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,448.0,246.0,202.0,0.437675332039757,0.62525047434251
040608,AREQUIPA,CONDESUYOS,YANAQUIHUA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,4034.0,548.0,3486.0,0.437675332039757,0.62525047434251
